id,uid,title,score,date,content,,
,,Garden by the Bay,5,,This garden by the Bay is unique. It showcases the tropical plants found in South East Asia and display in a very natural surrounding with a tall man made waterfall. It is very refreshing just the sight of it. It is worth visiting. You will enjoy walking on a multi storey see through glass walkway which winds down from the TOP of the waterfall to the ground level.,,
,,Beautiful gardens in the city,4,,"Very close to the Marina sand hotel,beautiful gardens with many kind of flowers and a big waterfall.(big queue to get inside the forest cloud)",,
,,Beautiful,5,,"We bought the ticket at Changi Airport. When we arrived there we can walk in side directly with our check the ticket but when we go to the dome(2 dome) we have to show the ticket for go inside. It very beautiful with many plant and flower. We
Are so excited",,
,,Excellent Morning,5,,A visit to this attraction is a must if visiting Singapore. Entry price is reasonable as this is a government owned attraction.,,
,,Nice cooled Domes,5,,Nice place to go. 2 Domes but the Dome with the waterfall inside was super! Buy online tickets its a bit cheaper. Look for Voyagin website but you have to collect your tickets inside Marina Sands ground floor.,,
,,Garden by the bay,5,,Bring my family of 4 with 2 teens. Nice hot weather and the flower doom is rather cooling inside. Went there on Garden Festival. Lots to see and had taken almost 300+ photos especial the rare flowers. Recommend you to bring your family there worth going. Will go again,,
,,Beautiful,5,,"They have a wow-factor from the minute you walk out onto the bridge from Marina Bay Sands hotel. We were there on an extremely busy Sunday but managed to enjoy despite crowds. Cloud Forest was excellent. A lot of accessible information on forest ecology and sustainability that most of the crowd missed in their endeavour to get the perfect selfie. The planting and structure including waterfall was quite amazing.
The queue for the flower dome was extremely long as I think there was a promotion on for Singaporeans, so we wandered around the gardens and amidst the supertree sculptures instead.
Worth a return visit.",,
,,Must go,5,,"I'm a local who brings all my friends who come here to visit from overseas. It's a must place to go simply because of the architecture and variety of flora on display. There's a fee for visiting the domes, but you can also sit around the park benches and enjoy the scenery. The park is not sheltered except for the dome area, so try to avoid going in the midday when it can get really hot. Marina bay sands hotel is right opposite so there are plenty of picture-taking opportunities in this area.",,
,,An interesting day out and the evening light and music performance was beautiful,5,,I have been here several times and each time there is something different to see. Well worth a visit,,
,,A must for anyone visiting Singapore,4,,We visited the light show and the gardens and were thrilled by both. You just want to photograph everywhere. It is so pristine and colourful. The gardens domes and skywalk are amazing. Great.views of harbour front. Loved it.,,
,,Lovely experience,4,,It was a great experience! There were just too many people visiting so it's a little uncomfortable roaming around but the attractions are definitely worth visiting. My favorite is the Garden Rhapsody show at night.,,
,,"Gardens by the bay, Singapore 馃嚫馃嚞",5,,"The place is at its best at night. Tree lights and decors makes you feel happy and relaxed鉂わ笍馃挄 when you go through the park, don鈥檛 forget to bring tissue/towels with you and wear flats so it鈥檒l be more comfortable for you to walk around馃憣馃徎",,
,,"Beautiful, but overcrowded.",4,,"The gardens were beautiful, especially the ones in the Cloud and Flower domes. However, there are always, ALWAYS way too many tourists in ANY of the areas of interest (domes + main Super Tree grove). They're also quite far from the main points of entry. Prepare to walk or spend for rides in and out of the main area.",,
,,Man-made wonder,5,,"A must visit place on the Singapore itinerary!the glass enclosed domes have beautifully laid out gardens and flower shows .the flower shows keep on changing seasonally...all well labelled for people to know.
Even the children's festival held in the open areas is a big hit with well thought of activities for all age groups.",,
,,Two beautiful domes perfect for all wearher,5,,"The flower dome has some of the most beautiful flowers in the world. It鈥檚 divided by continents, vast n refreshing. And there鈥檚 an area for seasonal flowers too. The temperature makes it perfect when it鈥檚 hot weather. The cloud forest is gorgeous but compared to the last time I was there there seems to be lesser mountain flora n fauna and the tempereature has been readjusted to be slightly warmer. But the waterfall inside is pretty awesome. Worth visiting st least once. A wonder of Singapore.",,
,,Spectacular!,5,,"A must-see (by day and by night) for all trips to Singapore! It's free entry for the open garden and for the stunning light and sound night show, but also worth the cost of tickets to enter the two domes with mind-blowing arrangements inside!",,
,,Well Worth a Visit,5,,We spent about half a day here. Both the flower exhibit and cloud forest exhibits are wonderful. We did the OCBC Skyway at sunset to catch the light show. It was incredible and highly recommend doing this walk at this time. The light show lasts about 30 minutes and is on every night.,,
,,Awesome visit,5,,Loved this place! So beautiful and unreal. It鈥檚 a must see for anyone visiting Singapore! Don鈥檛 miss this,,
,,Well worth a visit,5,,"Take sunscreen and plenty of water!! It gets so hot out there!
The flower dome is an absolutely beautiful place to visit, best part? Its air conditioned!! So many beautiful flowers and tree to view. The cloud forest dome is beautiful as well, you cant go past the waterfall when you go in.
The giant trees in the gardens are a stunning view in themselves. Not worth the $8 to do the sky walk. Plenty of other places to get a good view.",,
,,Beautiful unforgotable Garden,5,,"U can spend full day in this beautiful garden. Cloud forest, Flower dome and OCBC skyway is having entrance tickets. Super tree grove is looking beautiful in night with different colors. Too worth to spend time. Waterfall from top of Cloud forest is amazing.",,
,,Everything is amazing just look at the detail and work to create this! WOW.,5,,Take your time plan the day and just enjoy the whole experience.The music combined with a great light show is a top finally to your day.,,
,,Great experience,4,,"If you are in Singapore this is a must do experience. You need half a day to do all of it, but it is well worth it. Will definitely return when we go back to Singapore.",,
,,a looong walk,5,,"a nice walk through the area, there is a light show every evening there, grab a blanket, get a lime juice from one of the many stalls around and enjoy the classical music.",,
,,Amazing Place,5,,We went to Singapore second time at March 2018. We love to visited Gardens by the Bay. We think this place is amazing and can't believe it from human. We spent time in this place for several hour for enjoy with many kind of flower and garden.,,
,,A Must See in SG!,5,,"As always, SG impresses me with their new developments, unique projects and destinations! Gardens by the Bay is one of the unique places in SG, very educational for the kids and provides a nice walkable destination! Highly recommended in SG!",,
,,Holiday,5,,"I have been to Gardens by the Bay before but there is now so much more to see. The plants, trees and flowers are amazing and I strongly recommend a visit. There is also a sky walk which is well worth doing.",,
,,Garden of its kind,5,,Visiting gardens by the bay was a good idea just to chill and walk and feel the nature . I loved it and would recommend anyone to visit the garden as the entrance is free .,,
,,Gardens by the bay,5,,"This is place for people selfie or take photo with a lot kind of flowers. On the way to ""Gardens by the bay"", walking around 5mins use shortcut or take shuttle.",,
,,"Stunning, magnificent what more can I say!",5,,"This is one very busy place where movement through the huge domes is often very slow due to the tourist crowds. I went in the afternoon and was warned that the Cloud Dome conservatory is not airconditioned, I didn't find this a problem as the huge waterfall cascading down from a tropical plant and fern covered man-made tower seemed to cool the huge space. The Domes are both a feat in architecture and a marvel in tropical garden display as you wander behind waterfalls, wind your way up the man-made 'plant' tower and through lush tropical growth both beautiful in its greenery as in its coloured flowers and leaves. The Flower Dome is airconditioned, displays change regularly, the colours are stunning as the displays are choreographed to contrast, blend in colour, texture and form. There are areas which feature gardens form far off lands, the dry, drought gardens are in juxtaposition to the lush tropical gardens. Statues and garden art made from various materials feature throughout the gardens, some picking up the light or water droplets and throwing the light around grottos, others large, some subtle, others making a statement. This was the highlight of my trip. Highly recommended.",,
,,MUST VISIT - Flower Dome and Cloud Forest. Give OCBC Skyway a miss.,5,,"The Flower Dome is a must visit at Gardens By The Bay. It is a flower garden that contains different varieties of flowers and plants from all over the world. It is enclosed so you don't have to worry about rain and very well air-conditioned (mind you it is scorching hot outside!). Friendly for people in wheelchair & family with toddlers on strollers. One can easily spend an hour or two here.

The Cloud Forest is amazing. When you enter you will be greeted by a towering lush tropical forest and waterfall. It is also enclosed and very cool inside. One awesome thing is the Cloud Walk whereby it is located high up the Cloud Forest and you can walk up close and personal to the vegetation that clad's to the side of the mountain. An hour should be enough here.

If you have toddlers or kids, you may want to visit the Far East Organization Children's Garden. The highlight is obviously the water park and your kids will definitely enjoy and have loads of fun. It's safe and there are lots of staff monitoring the area. Remember to bring their swimwear though.

I would give the OCBC Skyway a miss. Not worth paying the money when the view from the ground up the Supertree Grove is just as amazing.",,
,,Gardens by the Bay,4,,"A nice morning out, weather was humid and the gardens were busy. It鈥檚 a spectacular visit in the evening although much busier.",,
,,Beautiful and relaxed,5,,A stunning environment with little treasures around each corner. Our 2 year old loved the water park and we loved the greenery and scenery,,
,,Very cool,5,,There鈥檚 lots to see and do at the gardens. They put on different temporary exhibitions that look incredible. The cloud forest is an amazing walk up the indoor waterfall. At night they play orchestral/opera music and do a lift display off the large manmade trees which can be seen from a distance too. It鈥檚 worth your while checking this out whilst in SG,,
,,beautiful,3,,it's a must to visit place in Singapore. good place to hangout and observe the light show. you can even have a walk on the high bridge.,,
,,Wonderful light show,5,,We didn鈥檛 have time to visit during the day so got there about 6pm in time to walk around the beautiful gardens. Hence did not do paid activity but was enough for us. Noticed space filling up around trees so sat down at 730 to wait for light show and so pleased we did. Stunning display for all ages and a highlight of our visit. Topped off with dinner at Satay by the Bay (Hawker style) which was also great. Note mass evacuation after light show so wait for taxi is rather long and a surcharge applies. Time your departure between shows!,,
,,Beautiful and fresh,5,,"This a worth seeing, it is not stare gardens, they are truely beautiful. The waterfall is surprising.",,
,,Beautiful gardens,5,,Looking forward to visiting the biodomes in Singapore. Heard nothing but good recommendations. Was not disappointed. Beautiful flowers and displays.,,
,,Amazing gardens well worth visiting,5,,"Amazing gardens, very different from the other ones I鈥檝e been to. Well worth the visit. So very well maintained, pleasure to walk around.",,
,,One of my favorite places in Singapore,5,,This attraction is not to be missed if you are visiting Singapore. They have done a spectacular effort putting this world class attraction together. You can literally spend hours there and do it all for free if you want . The domes are paid entry but most of the area is free admission. It really is worth seeing for the sheer scale and size of this area. It is also worth going back at night and seeing the lights. Don鈥檛 miss it if you are visiting Singapore,,
,,Go when it's dark to enjoy the light show!,4,,I was advised to go around 5.30/6pm i.e. close to sunset so I could see the gardens during daylight and also in the evening once it is dark. The place really comes to life then with the super trees being lit up and also hosting...More,,
,,Amazzingggg,5,,A must seee! Light show started at 7.45 with accompanying music! Was breath taking! Highly recommend!!,,
,,Nice,4,,"It was nice relaxing experience cleanliness level can be improved ,we spent quality time over here.would definitely suggest people to visit here",,
,,A Man-made Garden of Eden,5,,"Everyone I talked to mentioned that I NEEDED to go to the Gardens by the Bay if I ever go to Singapore. I thought that people were just in the same bandwagon and wanted me to hop on in, little did I know that their...More",,
,,Great day out,4,,We recently travelled to Singapore with our 3 month old daughter and for a day out went to the Marina Gardens. The gardens offers a lot of walk about activities and fun attractions such as the cloud dome. It was easy to access and take...More,,
,,A world of Plants in a few hours,5,,"Easy to arrive in a cab and immediately get into the domes. The Cloud Dome is devoted to cloud level rainforests. Elevators take you to the top, so mostly you walk downhill on gradual ramps. A bit of alarming climate change information built in. The...More",,
,,Me sons favorite place in Singapore,5,,Amazing and relaxing time at Gardens by the bay. My son loved the sky walk it was his favorite place in Singapore.,,
,,Great light show,5,,We popped into the gardens to catch the evening light show. The place is amazing. The light show itself was really good and quite innovative. My tip would be to head out to the second level and watch from their as most people stay on...More,,
,,Great on a hot day!,5,,"I鈥檓 not a great fan of these sorts of places but I really enjoyed this one! I was surprised how interesting it was and the variety of displays. It was hot out, but a real pleasure to find something to see in air conditioning that...More",,
,,Magical,5,,"The only part of the Gardens by the Bay we visited was the part with the Supertrees during the Garden Symphony in the evening. We were there in July 2014 and in July 2018. In 2014, this was a breathtaking experience. Sitting on the pavement...More",,
,,Absolutely beautiful,5,,I attended the Singapore Garden Festival here and the gardens were so lovely. Went up to the Skyway but the view wasn鈥檛 as grand as I鈥檇 hoped. Definitely worth another visit.,,
,,Must Visit in Singapore,5,,"Just wow..

Such a brautiful garden, biggest naturepark of asia. Have beautiful two domes.

1)cloud forest-where every two hour mist created, have indoor waterfall and many more to explore.

2) flower dome- full of beautiful flower and flowery buildings.

Must see its night show @ 7:15 pm and 8pm, this show if open for everyone and free. Must see beautiful lights.",,
,,Just spectacular,5,,"The light show was spectacular. We did not expect the visual and music to be so fantastic, we could not take our eyes away.
Recommend getting there earlier to get a spot.
So many people made getting to the MRT very slow and we ended up catching a taxi.
Looking forward to seeing the rest of the gardens tomorrow.
One day is not enough.
Highly recommend it.",,
,,Beautiful gardens,5,,"A wonderful trip, beautiful fowers and waterfalls inside, spend a morning visiting and it flew by so quickly. Another night we visited the light show to music which was stunning and one of the highlights of our trip to Singapore.",,
,,it was amazing at the night time,5,,it was amazing at the night time. A very beautiful and big garden. I like the sky tree the most. There is a lighting show at night and I love it.,,
,,Refreshing,4,,Any visit to Singapore is incomplete if you don't visit the gardens. The entry is free for an outside round which is good.,,
,,The highlight of my Singapore trip,5,,"Wow, yes this is a must. If you like plants, waterfalls, trees and lights this one is a must. Allow plenty of time to explore this place (allow 3 hours). The light show in the evening is a magical experience. There is plenty to see in the gardens. A good time to visit is in the late afternoon, browse the domes and then head outside to watch the light show. The light show is free, but you have to pay for the cloud forest and flower dome (all in the same area).

A tip for bargain hunters, it is cheaper to buy a combined ticket for the flower dome and cloud forest. I bought my tickets from klook, they have some good deals for attractions in Asia. You will receive an email following purchase and you can use that to enter into the domes.

Happy saving and have fun ;)",,
,,Wonderful gardens,5,,"Teeming with beautiful flowers, amazing natural attractions (Supertree Grove, Cloud Forest), innovative landscaping and photo opportunities at every turn, you really must visit Gardens By The Bay if you're ever in Singapore. Free to enter the park but the attractions are paid for - either individually or altogether with an all-access ticket.",,
,,Lightshow.,5,,Watch the light show with the kids!! But ask someone what area its held.. We waited at the area where maccas is along with 100 other people.. but it was held on the other side... :(,,
,,Gorgeous,5,,"We have enjoyed the gardens, beautifully made and a good contrast to the city. The two domes are lovely. Tipp: We have gone their in the early morning (not many tourists there at this time of the day!). Although everybody told us there will be too many people, it was just perfect. Take your time to walk around the artificial trees as well.",,
,,More than what we expected,5,,Awesome not what we expected. Didn鈥檛 do walk but there for lights and music. Def go at night. It is absolutely a highlight,,
,,Beautiful place. Must visit in Singapore,5,,"This place is located right next to famous Marina Bay Sands hotel.
It鈥檚 beautiful man made garden. Easy to access , free to walk around. You only need to pay for ride in buggy and for entrance in cloud forest and flower dome- both places are great. In cloud forest it smell like rain (great for those who missed it like us living in Dubai)",,
,,An exclusive experieince,4,,"This place is not easy to replicate. They have done a wonderful of categorizing, naming and preserving in natural conditions. You can spend a whole day if you are really into it or an hour or two is enough to walk through.
And they have free WifI through out.

I wish they had more guide timings slot.",,
,,Incredible creation,5,,"Before my visit I knew very little about Gardens by the Bay except that all of the guide books recommended a visit. My only concern was that on the day we visited there were no clouds in the sky and the hot sun was merciless. I wondered how long we would last. But a huge surprise awaited us, with the two gardens within two enormous domes with air conditioning. The first dome that we visited was enchanting, with many varieties of flowers from a number of different continents. I was particularly impressed with the orchids, which were very colourful, and the cacti. We ended up spending two hours in that pavilion and then took a break for lunch. Returning to the Cloud pavilion, there was another impressive exhibition of the effect of water on plants. I am not particularly interested in gardening, but I do know how to recognize a top class exhibition, and this is one. You will not regret a visit.",,
,,Good attraction,5,,When i knew we were visiting Singapore this was one one of the places that i wanted to visit. We prebooked our tickets and paid for the two other domes. If you are interested in flowers then you will enjoy this attraction. They are very beautiful when lit up at night.,,
,,Loose yourself for a Day,5,,We spent a day and the evening at Gardens by the Bay and found there was something to discover and keep the kids entertained across the whole landscape!,,
,,A must see,5,,Gardens by the Bay is a must see especially if you love nature. They have the most gorgeous flowers in the domes and a water fall in the Cloud Forest. There are a variety of orchids in radiant colors and sizes. You can buy a ticket to include both domes which is worth it.,,
,,They really have created something beautiful here馃尮馃尯馃尰馃尲馃尫馃尨馃尩,5,,They really have outdone themselves over in Singapore and created something simply astounding. From the smallest of cactus to the giant Supertrees 馃槏馃槏 @wandering_gizmo on instagram for all my pics,,
,,Amazing achievement,5,,"Beautiful, peaceful and free Fantastic sound and light show each night highlighting an amazing engineering achievement.",,
,,Amazing,5,,"Better to go late afternoon. That way you can stay until it gets dark.
From the park, there is an overpass to the shopping centre, this is where you will get the best view for night photography.
It really is beautiful.
I enjoyed it more at night time. Everything lit up and changed colours. So beautiful.",,
,,Time waste - but if you have time go for it,4,,Highly rated place but if you go here you will find just malls and others surrounded fancy items no real beauty. Total time waste.,,
,,Surreal day out,5,,"We bought tickets for Cloud Forrest, Flower Dome and Skyway Walk and were not disappointed. The two indoor gardens are surreal and there is a huge variety of plant life inside. The Skyway Walk was good too but had to wait about 30 minutes to go up for only a short period of time.",,
,,During the day,4,,Also worth a visit during the day. Did not go into the buildings (loads of school groups) But enjoyed the walk through the beautiful park and very clean facilities. Beautiful location for $450m development,,
,,Excellent Opera,5,,"Day we visited Gardens by bay, they had opera and light show which was awesome !

Please note that to visit Garden by bay, One does not need to purchase ticket. Ticket generally sold online are for walking on top and visiting exhibition. Separate ticket for above both activities are available at venue too.",,
,,Very quick visit,4,,Due to weather and time constraints we were very limited but the free walk around was very picturesque these gardens are very well maintained. Worth a visit,,
,,Not to be missed,5,,Definately worth a visit. Both the Cloud dome and Flower dome are an incredible mix of sights and smells. Not only are the planting鈥檚 incredible but I also enjoyed all the sculptures throughout. We made sure we were in the cloud dome for the misting which happens every two hours.Plenty of food outlets and toilets. We decided to pay extra for the little electric cart audio tour which whizzes you around the gardens in 25 minutes brilliant when it is raining.,,
,,Tour,5,,I highly recommend to go here 2x 1st inbthe morning to get nice picture and at night for the second it may be a little traffic but the lights and orchestra is superb the light n music show is very wonderful do come there before 8 to get a good spot to watch and video the lights and sound show! Hope this will help u and try to ride the limo taxi car its a wow experience,,
,,Absolutely amazing,5,,"Absolutely gorgeous display of plants & flowers together with beautiful sculptures. The temperature inside is a very comfortable mild (approximately 22deg), so it was easy fur us to wander through the displays for hours. Cloud Forest is also well worth a visit",,
,,Gardens by the Bay - amazing!,5,,Gardens by the Bay is a must see! From the Supertree Grove to the Cloud Forest... be prepared to spend a whole day looking at the amazing plants. And be prepared to do a lot of walking!,,
,,Happy travellers!,5,,"Definitely will enjoy this place, a very relaxing and peaceful ambience and it's for free! :) you wilk actually enjoy the place specially at . But If you have some of spare cash visiting some of the domes is a must! We truely enjoy the place! 鉂?thanks SG!",,
,,beautiful place worth every penny,5,,"beautiful place worth seeing but need atleast 3-4 hours ,be prepared to walk a lot .go in the evening for the lighting shows",,
,,Spectacular,5,,Amazing experience. Especially the lighting show in the evening. Can get crowded and increasingly difficult to get a taxi after the show right away. So we decided to have dinner at small hawker center like food court nearby. Excellent satays. Must visit,,
,,Great Ambience,5,,We got the triple package for this place and it was well worth it! Day and night time viewing were spectacular! Hope to visit this place again soon,,
,,Woow,5,,"If u go to SGP, you must see this incredible place. Moreover I suggest to go there at 7.45 pm or 8.45 pm to admire the lightning show! You can also spend 8 dollars to go up over the Bridge connection through the trees.",,
,,Family friendly Garden by the Bay,5,,"I went to Garden by the Bay to recce for our company corporate social responsibility event. We are going to bring 20 underprivileged children for an outing and treat them to a lunch. So our top priority is their safety and fun. After deliberating about a few venue we finally choose Garden by the Bay taken into consideration for contingency plan due to the possibilty of wet weather and that this is a hot month of the year too. This is surely a great choice as there are covered walkway and greenery. Most importantly there is an outdoor playround and waterplay too with showering and locker facilities. And if it rain we still can bring them into the Flower Dome and Cloud Forest. For our staff, this place is easily accessible by Bayfront MRT. As its National Day period the theme is Orchid. Wow!! I didnt know that there are over thousand species of Orchid so learnt quite a fair bit.",,
,,An absolute must-do in Singapore,5,,"One cannot leave Singapore without having seen the ""Gardens by the Sea"". The gardens themselves are great but the two domes are not to be missed. The flower dome as well as the cloudy dome are a unique and overwhelming experience. Also try to be there at night for the unforgettable light show!",,
,,awesome,5,,Go and visit it is well worth it if you are into gardening. There is lots to see. I would suggest you wear good walking shoes .,,
,,Just beautiful,5,,"A must see when in Singapore. The dunes are amazing and the narrated tour on the trolley bus is great, you can see most of the gardens without having to walk in the heat.",,
,,Great place to visit,5,,What a wonderful little gem of a place this is had no idea it was there prior to visiting Singapore but spotted it on the drive over from the airport. Great value for money and a wonderful experience. So much to see and do.,,
,,Singapore,4,,nice place to visit during my stay in Singapore. it kept me awake after a 7:30 am arrival from the US.,,
,,Favorite attraction in Singapore,5,,"Grdens by the bay is an amazing attraction as if offers various activities within the same area. Moreover, there is a daily light show at 7 and 8 pm and its simply mesmerizing. It is not necessary to buy tickets to view the spectacle or to enter the gardens. Tickets are sold to visit temporary expositions or to go up to enjoy the view. I deffinitely recommend Gardens by the Bay by night.",,
,,Wonderful Huge Garden of the Wolrd,5,,"I am so happy to see lighting show of Garden by the Bay in the night. At that time there were many tourists and children. Also I am so glad that I can see Marina Bay Hotel clearly from this place. The area attracted many Garden choices and people should pay 68 SGD to enter the Garden inside. Well, personally I appreciated the infrastructure here due to its very friendly with all ages and difable or Senior Citizen. I loved it so much and fully recommended.",,
,,Fantastic!,5,,"Well worth a visit and one of the must sees when in Singapore. The domes are great and we spent quite a few hours in each one. The outside gardens are just beautiful and lovely to walk around with a small water park for kids to play in. The food options are limited but not too bad though a little expensive. We purchased dinner and stayed for the night light show. My tip would be to go later in the day and stay to watch the Light Show, they have two times and if you want a seat make sure you get there at least 45mins-1hour early. Alternatively, bring a blanket to sit on and you can sit on the ground and watch, there is plenty of room. I would visit there again.",,
,,Stunning place,5,,We visited on a relatively quiet day but despite being able to buy tickets it would have been a 1.5hr wait to go on the walkways so we had to skip it,,
,,The Opera in the Park light show was utterly incredible!,5,,We visited the gardens on one of the last nights of a year-long trip with our children. We were absolutely exhausted. What a wonderful experience to lay our tired backs on the warm concrete and watch the light show above us. Something we will never forget. Shouldn't be missed if you're in Singapore at night.,,
,,Worth a visit,4,,"Thought we鈥檇 spend an afternoon wandering around this beautiful park.
It cost $20 to go to the top of one of the sky trees. For this you got a soft drink and a fantastic view of Singapore.
For lunch we went to the satay restaurant where they serve some of the best satays in Singapore.",,
,,Lush green premises,5,,"It's lush and great for a walk. Really a symbol of the perfection omnipresent in Singapore. Catch the light and sound show, the coordination of which is really spectacular. It takes place at 7.45 and 8.45 in the evening. The Orchid extravaganza is also worth a see!",,
,,Park,4,,"Garden by the bay is a park. Nice to wonder around. To visit the trees are free. If you like to see inside the two dome, have to pay. Get there first, take time to wonder. Can always pay at the second entrance. Cloud forest is amazing. Some of the time there a light show at the trees. Don鈥檛 miss it.",,
,,Gardens out of this world!,5,,"You need at least 1 hour in each conservatory (Flower Dome and Cloud Forest). We were blown away by the abundance of flowers and plant life inside the 2 conservatories, as well as the layout and structures within. That waterfall in the Cloud Forest is worth the visit alone! We were amazed at how the curators managed to have so many of the varying flower species in bloom all at once. Also, DON'T MISS the 15 minute (free) Light and Sound shows at night (7:45 pm and 8:45m).",,
,,Wonderfull,5,,"This is an amazing project and really does the city credit, it is a calming and beautiful place to visit and very enjoyable for all ages. Definitely worth a visit.",,
,,"Very pretty, worth a visit",4,,"Gardens by the bay is located right behind the marina bay sands complex.
It鈥檚 very beautiful and definitely worth a look at if you鈥檙e in Singapore. I only had time to visit during the day, next time I will visit at night.
You have to pay to see certain things, but the majority is free.",,
,,This is the only place I will accept a wedding proposal!,5,,"This is one of the most beautiful and magical places on earth. The cloud forest with waterfall was so beautiful, if you wanted and are a nature lover you can spend the whole day at the gardens.",,
,,A. Use see in singapore,5,,we visited this in august it is a must see in singapore the flower dome and cloud dome are just beautiful and the sky walk is a must do as well you need to purchase the sky walk tickets separately as this is sometimes closed due to weather consitions whereas the two domes arw ooen all the time they are easy to get to on the mrt just get off at bayfront and its a short walk to the gardens the night time show is a must see as well,,
,,Well worth a few hours,5,,"For anyone that loves flowers & plants it a must visit if you re in Singapore, I recommend you tie it in with the Singapore flyer as they are in the same area",,
,,Great place for couples and photos,5,,"This is a really great place for couples and nature lovers. If you're a nature photographer, this is a place for you as well as the plants were all spectacular!",,
,,Forest Garden is out of the World,5,,"This is a must visit in Singapore. It has 2 major parts the Forest Garden and the Flower Garden. The Forest Garden is to die for. It is like you are really in some dream World Forest.

I suggest to buy tickets from Klook as I got great discount there.",,
,,Garden by the bay,5,,"Was amazingly peaceful , loved it ... worth a time ...light show was wonderful ... worth a wait ...should visit with kids .. city line view from the bridge is breathtaking.",,
,,Well worth a visit,5,,"Great to walk through the gardens following the map we picked up at the entrance,lots of plants to see and interesting things to read. Visited the Supertree grove,Flower Dome and Cloud Forest.",,
,,A must visit attraction in Singapore. Suitable for all ages.,5,,"Beautiful domes with varieties of plants and flowers. Lots of negative ions, refreshing and soothing. A must visit attraction in Singapore. Suitable for all ages. The domes are airconditioned, May need a light jacket or shawl for some elderly and kids.",,
,,Amazing Gardens,5,,"Beautifully designed, landscaped and well laid out Gardens what a joy to wander around; especially the sound and light show in the evenings on the Skywalk.",,
,,Very large garden,4,,Just board to yellow line mrt and stop at bayfront mrt exit B and walk via dragonfly bridge with glass wall. Garden by the bay is a very large garden.,,
,,Beautiful,5,,"This is the place to visit if you like plants and flowers. The greatest variety of them from all over the world, in an spectacular atmosphere, not only outside in the park, but inside the green houses.",,
,,A must,5,,You cant visit Singapore without visiting here. You could spend a couple of hours or a day. Excellent indoor gardens and more along with expansive park. Easy to get to by mrt,,
,,An experience of another planet,5,,The supertrees garden at night is an experience out of this world. Also the sound-and-light show at 19:45 is not to be missed. And all is free!,,
,,Amazing man made,4,,Very unique and pretty. Gardner鈥檚 and horticulturists will be impressed. Well presented and maintained,,
,,Once in a lifetime,5,,"This is the reason I came to Singapore. The Supertree Grove is absolutely incredible. As is the Cloud Forest and, to a lesser extent, the Flower Dome. Definitely go back to the Supertrees at 7:45pm or 8:45pm to catch the light show. The crowds are worth it!",,
,,Beautiful visit,5,,Nice spot to visit for a mix of nature and tech. Enjoyed the orchids of all types and the various regions of the world climate gardens,,
,,A must visit,5,,A must visit if in Singapore. Totally amazing especially at night time. We went for a drink in the tree restaurant and was well worth the 20 dollars we paid. The views were fantastic and it had a lovely relaxed atmosphere.,,
,,Dining and Gathering,4,,Gardens by the Bay is a nice place to stay for evening. Sunset view is great! You can found good and variety of foods with reasonable prices can at Satay by the Bay. Is a good place for family to chill and gather.,,
,,A must see while in Singapore !!,5,,"We really enjoyed the time spent here and it is a must see while in Singapore. Allocate at least half a day here and best to stay and watch their light show in the evening. There are also many places to eat here .... including the opportunity to sample some local food. Both the Flower Dome and Cloud Forest are excellent.

You can take the train to Bayfront Station on the Circle Line. It is a short walk (15 minutes) to Gardens By the Bay ticketing area. Just follow the signs. You can also pay S$3 per PAX and take a shuttle too. S$28 for admission to both conservatories and another S$8 for the OCBC Skyway.",,
,,Remarkable Place,5,,"It's a very impressive place to have a walk around, with great views and greenery. The 2 domes that you have to pay to enter are well worth the money. Rhapsody by the Bay every evening is also definitely something you should be doing too.",,
,,Come here when there is a special event.,3,,"If you come here when there is no special event, there were no decoration so the place looks flat and have nothing except the flower. Come here near Christmas maybe to get a more colorful and lively place.",,
,,"Go, even if you don't like touristy places",5,,"If you like gardens, you'll love this. If you don't, go anyway. It gives a good insight into the Singaporean psyche (if nature hasn't provided what you want, build it).",,
,,a heavenly garden here on earth,5,,"we should thank th Singapore authorities for creating this marvel - what a garden- what a beautiful tourist spot- visitors were going gaga over this gem of a place - taking photographs , all the time - we found it utterly fascinating ... flowers of every hues, colour and type ... with natural fragrance ...all in an air-conditioned skylight dome ...",,
,,Fabulous!,5,,"As one of the most popular visitor attractions in Singapore, I thought I鈥檇 be a little underwhelmed due to all the hype surrounding that fact but ... it really was brilliant! We went in the late afternoon through to the light show in the evening. Walking across the bridge from Marina Bay was pretty spectacular and exciting. It was busy, but not uncomfortably so, and there鈥檚 plenty to distract you from the crowds anyway. Personally, the Cloud dome was more interesting than the Flower one, but both are so well designed and maintained, with a plethora of interesting plants - and many other delights- that everyone is sure to find a favourite feature. Highly recommended!",,
,,A lot see & do,5,,There is a lot to see & do at a the Gardens By The Bay.The laser light & music show at night is well worth a visit on its own. The gardens & sculptures are very good too.,,
,,What a day!,4,,"We visited the cloud forest, the flower dome and the trees ( on the walkway) and stayed till sunset to see the sound and light show. I would have enjoyed the flower dome more had it not been full of people who were shouting and taking selfies. We saw a few people clearly interested in the plants but they seemed few and far between.
The cloud forest was also enjoyable and we were glad to have visited it.
It was really lovely to go up to the tree walkway and watch the sunset but best of all was the sound and light show. The tree really came into their own once it was dark.
We didn鈥檛 expect this to be the best part of our Singapore trip but it was. As we are not city people, we were rather underwhelmed by views of the city.
As most of the day was spent in a/c environments we experienced a lot more.",,
