id,uid,title,score,date,content,,,
,,Up to your interests...,3,,"Well, as for me so being there was just an a ""must be"" entertainment. We were in the evening there. The circle is moving very slow, so you should thing abt your human needs before riding (toilet). Especially if you are with child. The rest is quite expectable. Beautiful night Singapore view and a photo on exit) abt $30..
Enter sin $33 per person.",,,
,,Great views,5,,"Fabulous views, particularly of marina bay. I think night time views would be amazing but unfortunately I couldn't fit it in.",,,
,,Singapore Flyer,5,,Ticket is considered pricey but definately worth the ride! You get to see nice scenery. At night will have nicer scenery then in the day.,,,
,,Amazing Views of the city.,5,,This amazing attraction is fantastic. Smooth ride in glass pods takes you high above the city to give you the best views and perspective on this amazing city. The air-conditioned pods have info in them on the sights you can see and its a very gentle experience that gives you views you would never otherwise see. A magical experience that I would do again.,,,
,,Exciting view from the wheel,4,,"I just came in the afternoon and the place is not crowded. From the wheel we can see : F 1 track, Garden by the bay, Merlion and several other interesting places. The view will be better at dusk.",,,
,,Beautiful,4,,What an amazing sunset Very happy we got a sunset Good and efficient service by the staff Thanks. Xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,,,
,,Average,3,,"If you went already to Marina Bay Sands Sky Park , then dont go as you will not see anything new , it is a high place that will show you the same city landscapes! Organized place with nice staff",,,
,,Amazing views,5,,"Booked the dinner tour for two couples. Did not expect much from the food, however was pleasantly surprised the food was really good. We did the 7:30 tour and the views with the city all light up was amazing.",,,
,,Fantastic views,4,,"I enjoyed the stunning views from the Flyer. I was really pleased that it was easy to access with a wheelchair. In fact, I was free - my husband paid, but I was in free as a disabled person.

The 30 minutes trip showed amazing views. The pod has a bench for sitting and is air conditioned. You get a feel for the size of the city and its continued growth. It is easy to take good photos from, especially if you have a zoom lens.

A very enjoyable experience.",,,
,,A great landmark of Singapore.,5,,"Must see, this Singapore flyer is the larger version of the London Eye, although larger it has fewer pods than the London eye.",,,
,,Great views from an air conditioned capsule!,5,,"See the Marina Bay Sands Hotel, Gardens by the Bay and the downtown area all from an air conditioned capsule. Great photo shots from high in the air (albeit with windows between you and the shots.) Very slow ride, so if you have no interest in pictures, it could be a little boring. (Each capsule seats 6-8 people.)
Unfortunately, on the day we visited, the F1 race blocked off some streets so public transportation couldn't go right to the Flyer, but we did hike there without too much overheating. Also, we had just eaten lunch, so we didn't try any of the available food at the site, but I would guess you could find some delicious food on site (street type & sit down restaurants).
I was there in the afternoon, but I'd guess the night views would be terrific! Great place to cool off & relax your feet for about twenty minutes. (Price is in range of other entertainment at 33 SG for adults.)",,,
,,AMAZING VIEW AND RIDE,5,,"What an amazing view from this ride, takes in so much of Singapore and the ocean, it is amazing how many ships you can see in the ocean. Not a scary ride, nice and smooth.",,,
,,Great Ferris Wheel Attraction,4,,30 minutes rotation and at 165m high this Ferris wheel attraction is perhaps the most popular and a must visit in Singapore. Conveniently located in Marina Bay and easily reached by MRT or on foot the views of Singapore are great. We have done the trip by day and at night. The day trip points out many of the landmarks to visit whilst the night gives breathtaking panoramic views of the City skyline and the magnificent Marina Bay. Be careful of the haze so select your day for best weather. Peak times are 6-8pm and its worth the cost but the sky dining service is expensive. We choose a champagne cocktail trip which gave access to the lounge prior to departure. Will do again.,,,
,,Wonderful views,5,,"Views were amazing from the capsules, we had one to ourselves which is very spacious. The staff were informative and gave great information about the flyer and why it was created. The time will go so quick so take in every moment. Below the flyer is local food so you can experience local culture as well as some western food stalls.",,,
,,The trip was awesome at flyer,5,,The flyer moves slowly so that everyone can view the whole city from the flyer and it was a awesome exprience for 33$ SGD per person I think it is worth the money....,,,
,,Nice view,4,,"I came here because i got a free access from F1 Singapore.
It's a nice place to explore, and i really enjoy the sunset view in here.
I'm not really explore this place because i have to get back to F1 zone again, but i think i'm will going to this place again.",,,
,,Amazing Views,5,,The views from the capsules is amazing and you can see for miles. We did the flyer at night and Singpore at night is gorgeous.,,,
,,Impressive Views over Singapore,5,,"We took in a ride on the Singapore Flyer as part of our Singapore Airlines Tourist pass and went at 5pm on a Monday.
The place was pretty quiet and we even had our own carriage!
The views were as expected somewhat complete and comprehensive overlooking most of the region and beyond.

Great ride, helpful staff and a must do if you want to experience a world class attraction",,,
,,Would be fantastic on a clear day.,4,,The day we chose to take the Flyer was rather hazy so our experience was lessened. The cabins are large and clean with seats (if you can stay in one place to use them). We were lucky in that there were only 2 other couples in the cabin so we had lots of room to walk around taking photos.,,,
,,Breathtaking View From The Top Of Flyer,5,,You will experience a breathtaking view of Singapore from the top of the flyer. Must see if you are visiting Singapore.,,,
,,Exactly what I expected,5,,Wonderful views of the environs .... what more could you want? Would have been nicer without the group we shared the pod with but that's life!,,,
,,What a view,5,,"Awesome view from the flyer as you go up and around, a must for anyone visiting Singapore. A lot to see from it",,,
,,Worth a ride.,4,,Great way to see the city and get your bearings too. Just turned up so no need to book. Takes about 30 minutes to do a circuit. Plenty of good photo opportunities and time to take in the outstanding views.,,,
,,Wonderful Scenic View,5,,"A half hour ride for 1 rotation, but price quite high. We could see all Singapore at the top of the rotation, by 360 panoramic view. We hardly enjoy the view since we were busy taking photographs lol..
It's recommended for those who have never board this ride.
Considering the price, it's better for a one time ride only.",,,
,,Bird's Eye View,4,,"We decided to go on the Singapore Flyer in order to get a good view of Singapore, it was right on the route of our Hop On Hop Off bus and was near Gardens by the Bay, so 3 points out of 3. We actually got a discount as I still had our boarding passes in my bag( thank you Singapore Airlines) and we had a lovely time.....just like the Melbourne Eye. The carriage was clean but air conditioning must have been on low, but not unbearable.",,,
,,Amazing Views of Singapore,5,,"We had tickets to the F1 race which gave us free access to the flyer and it was fantastic. The views over Singapore and the circuit at night were spectacular, I would highly recommend a trip on the Flyer even when the race isn't on.",,,
,,Singapore Flyer,5,,"Great attraction and worth a visit. Good see the whole city. In 30 minutes in capsule we decided to go to various attractions nearby.
Watch out for pricey bars at riverside. SD 6.50 to SD 18.00.
Excellent views and don't forget your camera.
Good to see during the day to appreciate the landmarks or night time for lights all round. Whichever you'll love it.",,,
,,Most memorable!!!,5,,"We went on and enjoyed the dining experience on the wheel ride. We got engaged that night which makes this place most memorable. Aside from that, great view from the top. Nice place to be proposed to.",,,
,,Go There At Night,5,,"We walked there from Marina Bay and although the walk could get you all sweaty even at dusk, we were glad we had stuck to the plan to go on the Flyer cos it was a lovely experience that is absolutely breath-taking. It's the height if 42 storey building and even taller than London Eye. Each ride takes around 30 mins and it is extremely stable and secure so you do not feel nervous or anxious at all.
It was not a busy night when we went and we could get on a passenger car having to wait for just 15 mins. We were a party of three and had to share the lift with three other young girls but that was ok cos the passenger car is spacious enough for the six of us to walk freely around, or to sit there and gaze at the beautiful city. Each of us had enough space to enjoy the magnificent view from 165 m above, we did not feel cramped at all.
We were totally captivated by the stunning scenery of Singapore skyline at night, with its beautiful lights shimmering in the distance. There was no disturbing music playing and that is good , cos we would not be disturbed or distracted by any noise and could fully focus on aesthetic scene after scene that fed our eyes.
We were treated to 360 degrees of unobstructed views of iconic and historic landmarks and all of us were able to capture vivid memorable moments even with our smartphones cos the glass panels were very clean and smudge free.
We strongly recommend this Singapore Flyer to any tourist, and a strong advice is--- go at night.",,,
,,Nice sunset view of Singapore,5,,The Singapore flyer do provides a nice sunset and night view of Singapore. Very suitable all types of tourist to enjoy an evening. Besides there are shops and eateries on the site . Wonderful experience in Singapore !,,,
,,Great views,5,,Did the Singapore flyer before during the day and did this at night this time round. Was awesome as we went to the grand prix so it was an excellent view of the track and the Singapore skyline at night. Absolutely breathtaking.,,,
,,Nighttime panorama,4,,"Orderly queuing and boarding before a relaxing ""flight"" taking in Singapore's night time best. Somewhat dependant on the courtesy of your fellow guests, generally you can get a good look in each direction from multiple heights. Central seating is handy when tired. Duration about right, but a touch expensive.",,,
,,Good getaway for a couple of hours !!,4,,Panoramic views... Smooth ride... Nice build-up - both informative & entertaining - right from security screening till boarding. Good restaurant options after alighting & don't miss the Gelatissmo ice-creams before leaving.,,,
,,Price was worth the view,4,,"We rode the 7:30pm ""flight"". It was just the right time to see the Singapore skyline before the sun set. The Flyer was quite pricey for SGD33, but the view was definitely worth the price!",,,
,,Amazing,5,,It is a 30 minute panoramic ride 165 meters above ground level. It moves so slowly and gently that you have a feeling of contentment.,,,
,,Not bad...,3,,"Well, this is like a big round wheel locates nicely so you can see most of the Singapore landscape.

The view was great, not much crowd at that time, so it really was a nice ride. However i prefer something more natural and you need to spend a bit of effort to enjoy the view around Singapore.

It's cost SGD 33 to take the ride,i think it should have mrt station closed down, but i'm not sure as there are 4 of us, and it's easier to take taxi.

If you happen to have limited time in singapore this could be a good choice to enjoy it's landscape.",,,
,,Informative,4,,It was an informative ride. We were able to learn more about SG. Too bad it was foggy (smog?) when we went there so we couldn't see the view clearly.,,,
,,Best View,5,,"One of the best wheel attractions I've been on. The Flyer has a large history and science museum on the way to the wheel, explaining how it was made and the people & physics behind it's constructions. The ride itself offers a breathtaking view of the city. We went during the day and could see the entire city. Would love to try it again at night!",,,
,,Feel like a dream on the Flyer!,5,,"It's one of the best way to see night view in the world! Also there are many amenities,too Oh Hawker center was there! You can find many street food! Great night veiw and food, which were fantastic enough to make my day!",,,
,,Great views but expensive for family,3,,"4 year old daughter enjoyed walking through the garden and feeding fish before going on the flyer. Great views especially my husband was interested in F1 course which this was right over pit lanes and gave views out over the city including gardens and marina bay sands. We had a whole car to ourselves which was threat to move around freely and sit as we please. Was expensive for a family 2 adults and a 4 year old, under 3 are free though. May be worth looking into it as part of a multi attraction pass for better value for money!",,,
,,Very Interesting,5,,Seeing the sites of Singapore from the flyer was excellent. The views of the city and the river and Marina Bay from the sky was wonderful,,,
,,A must do!! 360 degree views of Singapore,5,,"This GOW or Giant Observation Wheel held the record as the worlds tallest, till Las Vegas needed a new attraction and someone built one 2 metres taller in 2014.
That said, you could argue that this wheel provides some of the best views you are ever likely to see from any observation structure. And due to the mechanics of the pods that take you up, these are uninterrupted views.
The pods are very well designed so you can see everywhere. That said, I would recommend going on a week day during the day so you can possibly have a pod to yourself. The late afternoon and nights get a lot busier. I think you get a greater experience during the day being able to see more.
The ride is a very smooth and peaceful. The wheel never stops, so there are no jolts or bumps.",,,
,,Tallest wheel in the world,5,,"The views from the wheel are excellent, Particularly of the F1 circuit. Very reasonably priced and a must do event.",,,
,,Great 360 degree views,5,,We had complimentary access to the flyer by virtue of our Formula 1 Grand Prix tickets for the weekend. What a great all around view we got from the flyer! We felt all of Singapore was at our feet. Highly recommended.,,,
,,A lovely 40 minutes city scape viewing,5,,"Best place to watch the whole city of Singapore, all attractions are visible from the flyer, situated just next to Formula 1 track. ArtScience Museum, Marina Bay Sands, Flower Dome, Gardens by the bay Etc are visible. nice experience and comfy inside.",,,
,,Great views,5,,"Went early in the morning and being a public holiday it was not crowded at all, tickets were not too pricey and was worth every buck spent as the sights were breathtaking and awesome, on my next trip to Singapore I will certainly do the experience at night to witness the night lights of Singapore as it is beautiful at night as well.",,,
,,Enjoyed this.,4,,We had a stop over in Singapore and this was one of the attractions we chose. We enjoyed the ride and it was a great photo opportunity. You can see the Singapore sky line and the docks and river. Very clean area and no trouble getting tickets and the buses stop right outside.,,,
,,Singapore Sling Flight,5,,"We took a 730pm flight with a celebratory Singapore Sling for a birthday flight- had the capsule to ourselves and were treated to a fantastic vista. Had the capsule to ourselves (4 people) Amazing views of the laser light show across the city. Only complaint is that it was over too soon. Takes 30 minutes, seemed like 5-10.",,,
,,Must see attracttion,4,,Brilliant views and photo opportunities from the Singapore Flyer. Easily accessible and lots of food options. A must see when visiting Singapore.,,,
,,Worth doing at least once,4,,Goods views once you get up towards the top. Not sure it's worth the $33 entry fee but as we had access to it during the F1 as part of our entry fee it's was worth having a look.,,,
,,Go at night for best views!,5,,If you can time your 30 minute ride between 7:;20-7:40PM you can watch the Super Trees show at the Gardens Of The Bay across the marina at the same time you are in the flyer. The super tree show is from 7:45PM to 8:00PM. Try and go on a weekday when it is not so crowded. They will put 28 people in the car when it is busy! If you purchase the Hop On Hop Off bus tickets you will receive a discount on the ticket price of the flyer. Plus the Flyer is on many of their bus runs. We felt the price was well worth the trip. If you are here when the Grand Prix is running you can watch the cars on the track!,,,
,,Stunning view from the flyer!,5,,Singapore such a beautiful country! We both loved it. Singapore flyer view was stunning. All staff very friendly and polite.,,,
,,Great views of the city,5,,One of the Great Observation Wheels of the World. Fantastic views of the city and across into Gardens By The Bay and the Marina Bay Sands hotel. Cabins are really large and air conditioned which makes for a very comfortable flight.,,,
,,best view ever,5,,"we went there at night and it was not a surprise ,,, the best night view in Singapore even the tickets wasn't that pricey and we had a very great time I highly recommend u to visit it",,,
,,Good view!,5,,"This gives you an amazing view of the skyline of Singapore. You don't realise how large the city is until you go up in the flyer.

The round trip takes around 40mins. Cabins are air conditioned. Do this first then walk over the Helix bridge to the Science Centre. Then go inside the adjacent building have some great lunch (cheap too) in the food court downstairs. Do some shopping then head up to Level 4 and take the roof top walkway to the Gardens by the Bay - around 10 mins walk via the Marina Bay Sands Hotel (walkway goes through the middle of it).",,,
,,Interesting place to see,5,,Enjoyed there & taken lot of photographs of Singapore from Height. This was amazing scene from top. Full view.,,,
,,GP,5,,If you have Zone 1 tickets this is free to use over GP weekend. 40 minute ride with aircon great for watching support race's remember your radio for race commentary,,,
,,landmark of Singapore,4,,"We bought duck trip and Singapore flyer tickets together to get discount, and after duck trip, there will be a free shuttle to singapore flyer. we went there in the morning, so there are not so many people, the whole visit take half hour, you could see the river, the merlon, the park and the sands hotel. it worth the ticket",,,
,,Good spot to see Singapore,4,,Overall a great spot to take in the size of Singapore which you don't get from the ground. Biggest bonus was air conditioned cabins.,,,
,,"Excellent, but signage could be better",4,,"We visited for free during F1 weekend and maybe it was because we entered from the circuit, but the signage to actually get to the Flyer entrance was appalling. Maybe if we'd had to pay at the ticket office it would have been clearer, but on a very hot and humid afternoon, we had to backtrack a couple of times and staff were of no help.
Once we got to the entrance our experience was wonderful - the views on what was a clear day were spectacular and we got to see one of the F1 support races from the Flyer",,,
,,Awesome views,5,,Went the day before the grand prix just before sunset great circuit views and cityview total must do,,,
,,Singapore Flyer - A must see,5,,Singapore Flyer is a life time experience similar to London Eye will give you a 360 degree panoramic city tour experience - from Jurong to Changi to Sentosa and beyond. You will enjoy locating city's famous landmarks. Must see when you are in Singapore,,,
,,Night view is better on Singapore Flyer,4,,"We caught the last ride at night time and were the only passengers in the capsule. The experience is cool and entertaining. We can sing, dance and scream inside the capsule and enjoyed the view of the city. Highly recommended.",,,
,,Interesting,5,,We went there during the day and the view was nice. I am sure in the night it is as well great. But we plan to go to last floor in Marina Bay hotel in the night so we separate 2 different attractions with day and night view and this is most correct.,,,
,,Great city views,5,,"We visited at 15:30 and walked straight up to the flyer and into a pod by ourselves. Staff very friendly and welcoming. The walk to the flyer through the exhibits was a bit boring and I felt like it's just a typical sales promotional thing to make you feel you are getting your moneys worth and also to distract if you have to wait in line for ages.
Views spectacular and ride very smooth. Probably one of the highlights of Singapore. A night time trip would be great also however imagine it would be busier.",,,
,,Amazing view from the top,4,,"This is famous location in Singapore. The view from the top point is amazing. The night view is just awesome,",,,
,,Great views,5,,Visited at night and views were great. Likely good in daytime too. Another perspective of the city. Pictures came out well,,,
,,Great view,5,,Did this both at night and in the day. Great views from every point and we'll priced. Champagne flight at night was a high point. Did go during day for fp1 of the Singapore f1,,,
,,good,5,,it had a small hatch for us to stay inside for many minutes . we could take pictures of the singapore river and the exspanade known as the huge durian.,,,
,,Singapore Odyssey.,3,,"A good way to get an overview of Singapore,especially if combined with a river cruise or City/Bay walk.A visit to a nightclub in one of the fancy bars high in the sky is probably more fun.",,,
,,Visit during F1 practice,5,,We took a trip in the flyer during a practice session for the Singapore Grand Prix and were fortunate to be on the ride as it got dark. Views over the city and the race track are amazing,,,
,,Do this your first morning,4,,"Great way to figure the layout of town by going around in your air conditioned tube. You can sit or stand, stay in the middle or peer over the edge and either way it's a fun way to see what Singapore has to offer",,,
,,Top of the world,5,,"Nice air conditioned flight. we had a carriage to ourselves. We've seen this in the Singapore skyline every day and night, so had to try it. Would benefit from tourist info being piped in during the circuit.",,,
,,Free with F1 ticket,5,,"Our pass for our F1 weekend gave us unlimited use of the big wheel we went around one prior to one of the practice session and took some superb photos as you get great views of the track and the city
Excellent food stalls right underneath too",,,
,,Amazing views,5,,"We got to use this free for the Grand Prix weekend and the views, especially at night were breathtaking",,,
,,Beautiful at night,5,,Our second trip on the Singapore Flyer was at night and I really recommend this. Such gorgeous views of the city! Singapore Airlines boarding pass privileges also earns a discount on ticket prices!,,,
,,Closed for F1,1,,"We were most upset and disappointed that we couldn't get in to the flyer whole we were at the F1. We had tickets for the wrong area and even though the kind security guards let us in to the flyer, we couldn't go on it as the ticketing booths were closed.
We were happy to pay but could not. My son was very let down and it put a bit of a damper on the occasion.
I write this review ONLY to share our experience and warn everyone for next year, should the F1 even rake place. Who knows at the moment?",,,
,,Great View of Singapore,5,,"Itz a must go for all travellers. A great experience. They charge SGD 33 per person, slightly on a higher side.",,,
,,Great Singapore view day and night,3,,"This giant observation wheel is one of the highest ones in the world and it does indeed
make for a good view . We went in the day , there was not much crowd/queues but
it was all that we expected . Kids though were disappointed since they were more into
thriller rides and didnt like the slow movement of this but we appreciate the views
and like it .",,,
,,Memorable ride,5,,"It was like about a 30 min ride and feel like you are inside a capsule, you get to see the entire Singapore. The capsule was very spacious and the adjacent capsule to ours was used as a private dining spot. Beautiful idea!",,,
,,Awesome,5,,"Another must-do while in Singapore. Amazing views of the city. A very outstanding experience. There is a nice food court in the ground level with awesome asian food (street stall style). Best time to visit right around sunset, so book in advance!",,,
,,Hyped up experience,3,,"One of the most boring experiences. The speed of the Flyer is so slow. And you expect that you might see the heavens once you are on top,, and when you reach on the top...Boring!",,,
,,A must do,5,,Great views from all aspects. Staff helpful. Did this during the day would be an amazing site at night.,,,
,,Loved the views,5,,Got a free ride with our tickets to the Grand Prix. The views are outstanding and wished we could return again to the flyer at night,,,
,,A Very Big Wheel!,5,,"We visited here during the day, a lovely view overlooking Singapore city, marina and port, no queues to worry about. Part of the F1 street track is just outside this site",,,
,,Please put air condition in there (please),4,,"Went on there to watch the sun go down and was a beautiful thing to witness. Would recommend it! (It goes super super slow so if you're going to do a timelapse you best have spare battery haha)

I would say be prepared for it to a little hot in the bubble (whatever you call it haha)",,,
,,View of city & sea,4,,"Fantastic views across the city, seeing modern skyscrapers, well planned and integrated with old & new buildings. Slow moving and experience of a life time!",,,
,,Great views of the city,4,,"We went here on our first afternoon as it was close to the hotel and not too taxing after a long flight. It was surprisingly empty so we got straight on with only 2 other couples. It goes really slow so plenty of opportunity to take loads of photos. Great views from all over.
Got a bit scary when we were at the top and we got a thunder & lightning storm and as soon as we disembarked the flyer was closed due to the weather. Didn't feel unsafe though.
Overall glad we did it and would recommend it if you're not scared of heights.",,,
,,day and night trips,5,,"You can go on this Flyer either the day or the night. You still get to catch an awesome view of the surrounding. From here on, you may hop onto the duck boat. The best Ferris wheel in the world. Better than the one in London.",,,
,,Slow & smooth top experience.,5,,"Why this is great?
1-----This is second largest giant wheel.
2------cabin carrying 28 person.
3------30 minutes ride is enough to see / feel/ & enjoy
Great view from top.
4------Take evening time so can see day light & with
Night lighting also.
5----- Book with online maybe discount offers are
Available. & get Singapore Airlines boarding
Pass & get some 10% discount,so carry that.
6-----All age can do this very safe.
7----- moving very slowly,
8----- 33 SGD is okay .",,,
,,Largest wheel in Asia,4,,"We went on the Singapore Flyer because its a landmark and a must for tourists. It takes around 30 mins for a full round and is similar to the London Eye. You have great views of Marina bay, Gardens by the bay and the financial hub. We went at night so didn't had to wait very long in the queue. There's a bench inside to sit on and the temperature inside was quite pleasant. There are restaurants in the building connecting to the Flyer but they close at 10pm and won't take customers after 9:30 pm.",,,
,,Very nice and gives a Bird's eye view of the City.,5,,"Very well maintained and constructed Flyer, you have to board and disembark it in running mode. It slowly takes you up and in about 45 minutes round brings you down. When you are at the top, it gives a Bird's eyeview of the whole city, which is immense and beautiful. Worth every penny.
Get down and have the Ice Cream from nearby shop, which we enjoyed thoroghly.",,,
,,good views of the city and the bay,5,,"look down from the top over the wonderful Singapore, trace out the GP circuit and take millions of photos!",,,
,,top of world,4,,"my only suggestion for flyer is to visit in evening , as my morning visit was little boring. in lighting Singapore views are very goods",,,
,,Nice night and day view,5,,In this place you can see all Singapore. And you can take so many pictures for your memory. Wonderful amazing,,,
,,SG Flyer with the family,4,,"I like such kind of experience like London eye and SG flyer where you can have a 360 degree view of the city from the top. SG flyer was clean, well organised and the experience was enjoyable.",,,
,,Great views on a rainy day!,4,,"We took the trip on the Singapore Flyer just as the tropical shower came down but it had soon passed and we enjoyed the views across Singapore including the construction of the Formula One Pit area. Whilst the Flyer does not have a commentary like the London Eye, it is nevertheless worth taking the ride.",,,
,,SINGAPORE FLYER-GIANT WHEEL,5,,"I visited Singapore Flyer,a giant 165 Mtr height observation Wheel located in the heart of the Marina bay with my family on 26th August 2016.Climate was cloudy,gradually became sunny with rain droplets.Giant Wheel has 28 nos fully Air conditioned Glass Capsules(transparent ) with seating arrangement. 30 minutes journey in the Glass capsule with stunning daytime scenes was a great experience.From our capsule on the top of Singapore, we enjoyed views from Marina bay to Singapore river.we missed the Panoramic view that stretches to parts of Malyesia and Indonesia because of smoke coming from forests.We felt that both day and Night journey in the Wheel will be most enjoying. Night view of Singapore with Illuminated colourful lights will be more attractive
Drinking water,Eatables and wash room facilities are available.
Flier ticket price S$ 33/-Per Person",,,
,,Great way to see the city by day or night,5,,"We have done the Singapore flyer during the day time and during the night, both are well worth it. The trip takes about 30mins and the carriages are air conditioned, so it's a nice break from the heat. Seeing all the lights at night is spectacular, especially the Super trees in the gardens.",,,
,,Excellent,5,,Visit is a must for the spectacular views of the Singapore skyline. We choose the champagne your and was worth the extra money.,,,
,,Try it at night,3,,We visited the place in August 2016. The view from the top is great but you most go there at night. A little bit on the expensive though. Not value for money.,,,
,,Pleasant end to the trip,5,,The views of the city were breathtaking. We didn't have to queue for very long (10 mins max) and there are different packages available. We just did the standard admission and enjoyed every minute of seeing the city light up at night for our last night in Singapore.,,,
,,Great view,5,,"If you are in SIngapore, don't miss the opportunity to see it through this flyer. It's worth the visit for it's great unique experience.",,,
,,A ride on flyer is must in singapore,5,,Really Good as you can see the singapore. Views are more good in the evening time. Ride is comfortable.,,,
,,Loved it!,5,,"We took a 24 hrs bus pass with Hippo and Duck tours, and went to Flyer first thing in the morning. Great experience. No crowds early morning. It took about an hour all together with q and tickets, and getting through a mini museum/interactive area. Cabins are very safe and staff would not allow to over crowd",,,
,,MERRY GO ROUND,2,,Not worth to visit. 脢xpensive and boring. Weather is hot in Singapore and with the recent haze.... you may not be able to see far.,,,
,,Excellent view!,5,,"Slowly make your way up and enjoy panoramic view Singapore has to offer. You get clear view of the bay, the Marina Barrage, and the city view. We went up there during daytime, the next time we go there we plan to be there at night, which should be just as awesome.",,,
,,Better at night,5,,"Well worth the ride but better at night , nice easy smooth ride capsule holds 28 people we had 4 great to move around and get pictures from every angle",,,
,,Best venue to watch F1,5,,"As F1 season is coming, do visit this attraction to enjoy the buzzle of the F1 season in Singapore which happens annually. Many restaurants to choose from, convenient by public transport.",,,
,,Best location for a birds eye view on Singapore's waterfront,4,,"We took the Singapore Flyer after our dinner at the Food Street located at the bottom which was convenient. The multi storey car park was across the street and was connected to the flyer via an overhead bridge.

We took the flight at around 8:30 pm. It was not crowded and the night scene was ok. We prefer the day time scene (we visited several years ago) as we could see more and further.
Overall, it was a pleasant and good experience.",,,
,,Top view,5,,"This cost $33A but the views are great and you get a great Birdseye view of overall Singapore. A different perspective either day or night, if you were to go on sunset you would get the best of both worlds (but maybe one more than another) lots of photo opportunities and you can move freely about the capsule. Trip takes roughly 30mins. Taxi takes you straight to the door or walking distance from many hotels.",,,
,,Great ride with great view!,5,,"This visit was the first for my 3-year-old. It was a weekday and we had to share the cabin with 2 other passengers, so the ride was very relaxing and enjoyable. An attraction i'm very proud of as a Singaporean. A must to visit for all tourists.",,,
,,See the sights from up high,4,,Not too badly priced at $35 per adult. Took about 30 min to do a loop. Good way to see the city and pin point places of interest,,,
,,Great attraction if you can get a good deal,3,,"We went on this around sunset time and it was lovely. I think the pricing is a bit much for a couple but we were lucky to have a voucher. The views are good and it's a great way to see more of the city. The other options for added extras like drinks or meals looked great. They don't seem to overfill the carriages so everyone gets a chance to enjoy the view. I wouldn't pay full price, but I would go again!",,,
,,Great views,5,,Takes about sixty minutes to go around. Great sights of Singapore. You can see the Formula One pit lane.,,,
,,Nice 360 degree aerial view,4,,"The only place to get a 360 degree aerial view of Singapore, this is a ""must do"" in my books. From ticket purchase to the trip, it's a smooth and easy process... I have been a handful of times and never had to wait more than 10min.

My suggestion would be to do it around sunset, so you get the best light and see the lights starting to come on in the city.

I have only ever used the Singapore Airline Stopover package, so get a free ride on the Flyer.",,,
,,Must take this ride,5,,I would suggest that one must take this ride. Its the best way to see the spectacle of Singapore. Best time: After Sunset,,,
,,A must!,5,,"Worth it for the fabulous views of Singapore. Lasts half an hour, and is close to other attractions.",,,
,,Good thing to do,5,,"It's a tourist attraction and you have to do
it. We got on really quick and it takes sounds 30 minutes altogether to go around. Good view of the F1 track and the gardens. A strange place to put the wheel but easy to get to on the metro",,,
,,Tour of Singapore flyer,4,,"Overall it was an enjoyable ride to see the Marina & city. We booked this in advance on 8/22 & got confirmation. Before our trip to Singapore, our booking was planned for the last time slot ride on 9/4 @ 7:30pm (Sunday) to catch the sunset or evening lights. On 9/1 we received an email that the ride/tour was completely sold out & had to choose another time for that day, next available times lot was 6pm. Not ideal...

Liuda Tours must be the company that gives you your e-voucher, at an office around the corner of the Singapore flyer entrance. My only complaint was that they didnt seem to organized.

We arrived 15 mins early and was told to wait till they called our time, 6pm. Once they did... It was approx 60 other people in this time slot, and we had to form a line outside for them to count how many people were in this group. Given this was an extremely hot & muggy day standing outside with no A/C and in the sun was very uncomfortable.

They must have recounted the line several times, as more later people arrived and joined the line. It was approx 15 mins later before we move to the Singapore flyer entrance. We didnt realize this was a group tour to a ride.

I think it would have been faster if we just purchase the Singapore flyer ticket at the ticket counter, and be on the ride faster...since there was no lines...perhaps the cost of buying at the counter may be a few dollars more...

Overall the ride was nice & great view of the Marina & city, It is approx 30 mins long and each capsule has A/C and comfortable. Glad our capsule was not filled to the max capacity.",,,
,,Impressive views of the area,4,,"This attraction is very similar to the other large scale ferris wheels. Total trip time is about 30 minutes. Ascent/descent are slow so no one should be alarmed by the movement. Plenty of room in the carriage and it was not crowded when I went. After you hit the peak though, its about 15 minutes of dead time waiting to get off but still worth exploring. There are other options - a dinner venue, etc. but I did not try any of those.",,,
,,Over the top view,4,,It's a giant revolving wheel like the London eye. You get a superb birds eye over the top view of Singapore. The formula 1 grand pre circuit is just below it. Nice experience,,,
,,What a view!,5,,"The views of Singapore and surrounding areas is magnificent from the over large Ferris wheel. Easy to access, quiet and very safe, this is a must in Singapore to give you a birds eye view of the city.",,,
,,On lunch!!,1,,"Extremely bad service and every time you go to collect your tickets they are ""on lunch"" missed out a full day of our 5 days pass because of the staff being ""on lunch"". And they are on linch for more than an hour in all three airport terminals at one - how in a service industry are they all on lunch at once - terrible singapore service!! Bringing down the tourism industry",,,
,,So much fun.... Great views... Go early.,5,,We went quite early to this and had the cabin to ourselves. The view was spectacular and the trip was just perfect taking 35 minutes for a full circuit. Have a great time on it.,,,
,,Extensive Views,4,,"Amazing ride on the Singapore Flyer. A very gentle pace, with no real perception of moving. Fantastic way to get an overview of the city. Great views of the Marina, Gardens on the Bay and the downtown core.",,,
,,Amazing view!!,5,,You can enjoy this wonderful view in the day or night. The attraction last 30 min. Views of the city are spectacular.,,,
