id,uid,title,score,date,content
,,History,5.0,,"Very beautiful park with a lot of history about the settlement of Singapore and WW2, very interesting."
,,Green Lungs of Singapore,5.0,,"Went for a morning walk in Fort Canning Park which is easily reachable by Bus...it is a lush green oasis in the midst of modern Singapore architecture...easy climb by stairs or by a walking track with dense vegetation on both sides...many morning walkers come here..you pass next to Fort Canning Hotel & Battle Box..entry to the Park is free but entry to Battle Box is charged..at the top of the hillock is a Water Reservoir...no one is permitted to go there..you get a beautiful, panoramic view ...as you walk down the slope , you reach MRT station...worth a visit.."
,,Well worth the visit,4.0,,We decided to walk ‘through Singapore’ via the Forest Canning park and grounds. The area is certainly very interesting and certainly worth the effort to get there. We spent perhaps 2 hours wandering around on the way through to other areas. Recommended.
,,Great quiet walk in the hear of the city,4.0,,"In the hear of Singapore lies Fort Canning, known primarily as the location for British HQ during World War 2 prior to the British capitulation. Great tour of the underground HQ itself via Battle Box tours.

The hill itself is an elliptical path around the hill with various informative signs throughout, mostly historic in nature. In general a nice quiet route with some glimpses of the city through the high trees. Unfortunately, and this causes the downgrade, one can not go to the top of the hill for a much broader view as there is a wired off reservoir on the summit, with those nasty little signs showing an individual pointing a gun at another all around...unfortunate.

Well worth taking an hour out of your day for the hike..bring water."
,,Interesting visit,4.0,,Once I’d got up the numerous flights of stairs (which felt like I was doing some proper exercise!) you reach the top of the park and it’s quite pretty to look at. There are guided tours here if you wished to do one. Otherwise just park yourself on a bench and enjoy the serene surroundings! There are parts of the old fort still visible. Nice little park to be fair
,,Tour of history,5.0,,The Fort Canning Park is an iconic park and the area is really lovely. You'll get to learn a lot about the area and its significance once you tour the inside. It also has a few restaurants and i quite like the Indian restaurant there (Myras).
,,A nice park,4.0,,Fort Canning is a nice park. Be prepared for some climbing as it is mostly a hill. It has some interesting information boards about the history of the area.
,,Nice park...big!,3.0,,"First, it is just a park. But as city parks go it is a very good one, And quite large. There are lots of pavilions and remnants from fort that was here during WWII. Be aware that there are some steep sections with a lot of stairs, so you will get your walking in."
,,Much is missing unfortunately,3.0,,"I guess it is what it is and they are doing a great job of finding and preserving the past. Unfortunately compared to places like Melaka and Penang as well as some of the other old British colonies, much has been lost. I was unlucky that Battlebox wasn't open on a Sunday. It is still a pretty good spot to walk around and relax."
,,Interesting visit,5.0,,"My cousin suggested we visit this place, I wasn’t sure if our kids would take any interest, especially the younger one, he is 6, anyway we purchased the tickets for the battle box bunker tour . We were pleasantly surprised by the well organized tour and the knowledge of the person showing us around. What made it even more interesting is the quiz question at the end of the tour which our elder son (9 yrs old) answered correctly and won a great prize.
The park around that area is well maintained and great to walk around."
,,Lovely a quiet in the morning,4.0,,I took an early morning walk here when it was still cool. Access is up steps and there are plenty of shady places to rest if needed. The whole area is a very nice a quiet spot and the Battlebox is well worth a visit if you have time.
,,A must do if you have the time!,5.0,,Such a pleasant place for a wander amidst jungle foliage. Interesting trails and very well sign posted. Look out for names of local trees. Good views from the top.
,,Relaxing and peaceful,5.0,,"After our tour of the National Museum, we chanced upon this beautiful park while looking for a place to eat. It felt very peaceful and relaxing to just sit under the trees. There were only a few people about. Some are walking, others are jogging, and a handful are sitting in the benches taking in the view."
,,a peaceful oasis in the middle of the city,4.0,,"Fort Canning is like a breath of fresh air after the hustle and bustle of every day life. Located in the middle of the city, this park is like an oasis filled with lush greenery. It is better to come here early in the morning before the heat of the day makes it unbearable, and be sure to wear comfortable foot wear and bring drinking water. There are several historical and educational markers as well, which details the history of Fort Canning and describes some of the plants seen here. This is another side of Singapore and it's worth a visit!"
,,Breath taking,5.0,,"First you need to wear a comfortable cloth and a sport shoes, it is a long walk. Don't forget umbrella in case it rains out of sudden. Fort canning is a wonderful place to visit. It is part of history and is reserved beaufully. You learn a bit of history by visiting it.it us located near Singapore national museum. The collection of trees and plants is amazing. Fresh air, taste of history, greenery that relaxes the soul and mind. Thus place is a must to visit if you visit Singapore"
,,Nice place for a run,5.0,,Take a run here to forget about the city. Close by you can also see the fire house also. Great place!
,,Relaxing garden,4.0,,"On a hot day it was nice to sit in the park and relax for a bit. It is green and well manicured, which makes the walking trails throughout the park a nice experience with a young child."
,,A beautiful city park,4.0,,"If you are tired of the fast pace of Singapore and all of the concrete, steel and glass, make your way to Ft. Canning Park where they have beautiful walking trails complete with historical markers. It is much cooler in the shade of the many trees along the path, and you will see many people enjoying the park with picnics. Don't miss the Battle Box, which gives you a tour of the British command station during World War II."
,,Relaxing and Pretty,5.0,,Fort Canning Park is a lovely relaxing place in Singapore. Full of history you can enjoy the place just walking the trails or taking part in activities such as the Battlebox tour. Lovely and green and well manicured gardens make this a place worth seeing
,,Lovely park with interesting history,4.0,,Central location near Fort Canning MRT. Lovely green area with various walking tracks to explore. We did the Fort Canning Tour including the Battlebox. A great way to learn about the history of this interesting site.
,,Nice walk especially in the morning,4.0,,A place filled of historical items. A very well maintained park. There are activities like the battle box where you can know more about the time the British soldier defended Singapore.
,,Historic place,3.0,,"There has been a military fortress here, and now the place has been turned into a park. There is a military bunker that has been turned into a museum, and a palace. It is generally not a tourist attraction."
,,Great place to wander,4.0,,"If you enjoy history and want to learn a bit more about Singapore this is a great place to go. It’s actually right in the city and walking distance from the train station. It’s worth walking around at your own pace as there’s lots to see, read and admire. Could easily spend a few hours here exploring the place."
,,Not a normal tourist destination but a lovely location for a walk in a historic park,5.0,,"This was another one for the memory banks for me. Famous for its gates, historic, Colonial connection and the Battle Box it is another lovely public space in this city. We accessed it by the escalator near the National Museum which saves a bit of a climb in the heat. More popular with locals than tourists but I enjoyed the walk around."
,,Visit on Open Day,4.0,,"We visited while the park was running an open day (or I should say a number of open days) with a number of exhibitions, talks and stalls. We attended an in depth talk on orchids by an academic from the Botanic Garden, and viewed an exhibition on how FCP was going to change in the near future.

Other than this a walk around the park is very pleasant and quiet, and is not too large to involve long waking in the heat.There are a number of entrances/exits, so you can take your pick depending on where you have come from or where you are going next."
,,Many Spices Grow in one Place,4.0,,"The spice garden at Fort canning Park is an extensive sampling of many spice plants that are hard to find all growing in one garden. The spice garden alone should be given at least 2 hours if you want to learn about the spices and take the time to study the plants as well. There are different spices in bloom and with fruit at various times of the year so you may only see some of the fruit at a given visit time but there are short descriptions of the nature of the spice, how it is harvested, and how it is used. Some spice plants actually make several different spices from various parts of the plant or fruit. If you are interested in the use of spices and where they come from, this will be a great place for you to visit."
,,peaceful walk,3.0,,"Not much to do exactly, but was a pleasant walk around . Very quite and peaceful with no traffic noise."
,,A place of history.,4.0,,This old fort has been transformed to a centre for lots of activity. Its great to see the people of Singapore enjoying this place as well as tourists. Great exhibition and talk on Orchids and a display the way development is working.
,,Great Park for a hilly run,5.0,,I stayed at the Novotel hotel right beside this park. It was very convent for running in. Nice big paths with lots of hills.
,,A park which makes you love Singapore even more,5.0,,"This is a gem in the heart of Singapore. Excellent to walk in with a lot of history in it. Connected to Clarke Quay and the Dhoby Ghaut area, it’s a must visit location.

I would say a visit to Singapore is incomplete without a walk in the park or with your family, a picnic"
,,Lovely quiet walk in the middle of a tourist spot!,4.0,,"Great little park in the middle of a busy tourist area. Loads of plaques and boards telling you about the long history of the hill and later fort. Research tour times for the “battle box” as we just missed the start of one tour and in truth were a little hot and bothered to hang around until the next tour. We now know the times and will be heading back to make sure we do it.
Something for everyone from spice gardens, archeology, ancient and modern history through to just sitting on a swing listening to the plentiful bird song and breathing in the aromas from the plants etc."
,,Stepping out of the metropolis,5.0,,"There is something very tranquil and pleasant about the park, it really does make you feel like you are clear from the buzzing metropolis of down town Singapore. With its Colonial history and Victorian like walkways, it also makes you feel like your back in the motherland!

On both occasions I've visited I've made a point of walking the complete perimeter, it offers good views of the city, the historic government building at the rear (now a hotel) and Singaporean life.

Notable points of interest include an old light house, various historic cannons, Battlebox (a must visit), the old (old) Fort, the visitors centre (useful toilet and cafe) and of course local wildlife and foliage.

But the main attraction for me was the quietness and tranquility it provides, the noise of the birds and the smells of the flowers, and reflection to understand where you are, and maybe how far you have travelled to get there!"
,,Relaxing at the top..Fort Canning Park,5.0,,"Fort Canning Park, an iconic hilltop landmark has witnessed many of Singapore’s historical milestones. The hill once sited the palaces of 14th century Kings and served as the Headquarters of the Far East Command Centre and British Army Barracks. The decision to surrender Singapore to the Japanese on 15 February 1942 was also made on the hill, in the Underground Far East Command Centre, commonly known as Battle Box."
,,Step back in time to reveal the history of Singapore,5.0,,The good thing is you can walk through from Orchard Road to Clarke's Quay and begin to understand the history of Singapore. there is the WW11 Bunker which has huge significance to the fate of the colony in WW11. the trees and walkways provide a degree of protection from the sun and as you get closer to Clarke's Quay there is Raffles House and an intriguing Lighthouse overlooking the Singapore river
,,Nice park but not a must see,3.0,,This is a lovely park and well kept. However I wouldn't say it is a must see whilst you are in Singapore especially if you are on a tight time frame. The park is lovely if you like parks I did enjoy a little stroll around here but did not spend too long as there is much better things to do in my own opinion. However if you are a park lover then go.
,,Fort Canning Park,5.0,,"This beautiful park consists of attractive, well kept walkways, well labelled specimen trees and framed historical notes. Approached by an escalator from a lower level, it is an oasis sitting above the city
on a hillside, with lovely views East and West, as well as towards Marina Bay. Raffles's original house is situated here, but is undergoing renovation at present, and is closed off to the public."
,,Historic park worth an hour or two,3.0,,"This park is located on a small hill overlooking Singapore and contains a range of artefacts relating to the history of Singapore from the 13th to the 20th century. A pleasant diversion for a hour or two from busy Singapore.

Nearest MRT station is now Fort Canning on the Downtown line."
,,"Nice park, not a must see attraction",3.0,,"We enjoyed a stroll around the park, our main purpose was to find the battle box attraction but the park in itself is pleasant enough for a half hour stroll away from the hustle and bustle"
,,"Very popular area, especially on Sunday afternoons",5.0,,"Extensive and very popular green area.
This hilltop park has a remarkable history, including the military headquarters of Colonial Singapore and a ""Forbidden area"" . With a restricted area reservoir at the top, plus a very upmarket hotel and many acres of attractive formal gardens / ornamental woodlands.
During the weekends it is a very popular courting spot especially with many local and immigrant couples who remarkably seem very keen on horticulture and exotic plants in particular."
,,Nice spot in the city,4.0,,"It is OK with some very pleasant views given how close you are to the city life, but there are many more places in Singapore which I would put as higher priority – such as Fort Siloso on Sentosa for the war experience. I did not do the Battlebox, could not be bothered to wait the time for the next tour when I was there."
,,Be prepared with water,5.0,,"Beautiful park full of lovely walks, though to reach many parts you need to climb quite steep hills and/or staircases. Lots of interesting trees such as Banyan trees and great deal of interesting finds throughout the park, including the Battlebox."
,,Great park with history,5.0,,Well preserved historical park in the middle of the city. Great for history buffs. It is a decent climb uphill
,,Go green,3.0,,"This park is big, you can access it from clarke quay or dhoby ghaut. From dhoby gaut you can walk thru the under ground tunnel which is cool."
,,Relaxing !,4.0,,"If you want to get away from the busy life of downtown you can enjoy this wonderful green area in the center of the city. Lots of locals jogging and walking. The place is well manicured with some attractions, buildings and hotels. It is about a 10 minutes walk from the hotel Fullerton. The main attraction is the battle box for the fans of WW2. It was the comnand center of the british army ! Dont miss it."
,,"Long walk with hill side, good for weekend",4.0,,My weekend has been well spent here. Managed to have long walk up and down. It is pretty difficult to find this famous view - but finally I found it where is just opposite to dhoby ghuat mrt statiom.
,,Gentle but hilly stroll with real interest,5.0,,Plenty to see in this park from the bunker to the archaeology. The park has lots of information boards to help you understand the history. And also the spice garden. It was serene and pleasant on the day I was there although the bunker was closed until 1.30 and I couldn't wait that late. I think it may be a bit of a challenge to anyone who has mobility concerns although I would recommend contacting them first. I really liked this place. Raffles house and the lighthouse were architecturally interesting although they were not open to go inside when I was there. Lots of heritage trees to see. I didn't go into the art museum as I was short of time but it was spectacular from the outside. It's a little oasis in the heart of a busy city. Some good views too
,,Nice Park,5.0,,"Lots of History here , lovely space to have a walk around waiting for your Battle Box tour to start. Interesting History of early settlement"
,,Picnics in the park.,5.0,,Great space to walk around . Excellent pathways and trees to view. Good art situated along the walkways along with plenty of great spots to picnic and just chill out. Love going down to the Battle Box also.
,,One of my favourite bits of Singapore,4.0,,"I always try and talk a walk in Fort Canning park when in Singapore. A raised hill on the edge of Clarke Quay, Fort Canning manages to combine the best elements of city views, a lush green park, and a number of informative historical attractions. Better in the evenings than during the day (it gets hot), it is well worth a stroll if you are out and about in the area during the evening."
,,evening walk - central location and quiet,4.0,,"i just discovered how lovely this place is in the evening when i came for a walk. within walking distance from city hall mrt station, it is easily accessible. the steps are a good work out. the area is full of interesting plaques and it is quiet. good place to come for a picnic as well. public toilets are clean and there are a few restaurants."
,,An outdoor huge park,5.0,,"The area were huge, with many attraction from Art Center, Restaurant, Field, and attraction. It was an outdoor so you should traveled light, have some food and drink on your little back, and use a comfortable shoes & clothes."
,,Morning walk,4.0,,"Headed to Fort Canning for our first stop in Singapore. Great for a morning stroll, we didn’t do the bunker tour, however the plaques and info scattered around were plenty for us."
,,Picturesque place,3.0,,"Quiet, Serene and picturesque. Perfect for a picnic and cooler evenings. Great for pictures. Families enjoy picnics here. Houses some good restaurants as well"
,,Exhibitions to see,4.0,,"I have seen at least two excellent exhibitions here, the last being the UNECSO World heritage lego exhibition. When visiting the park ensure to walk through the herb garden too."
,,Lots on inclines and steps.,4.0,,"This was a mammoth effort for me being the unfit person. Thankfully you can do it at your own pace and rest when needed. Nice place for gatherings, picnics, to chill out but also good to learn about history."
,,Fort canning park...,4.0,,"Fort canning park is located in singapore, agrassy hilltop which has got historical importance. It's an area where many concerts happen in the city. A museum and art centre is located nearby. From this place Clarke quay is nearby which is exactly opposite to the calm atmosphere around here. People will come here, exercising themselves, and spend there leisure time in a calm environment. Altogether it's a recommendable place for the travellers in singapore."
,,Great Bunker tour.,5.0,,I was amazed how enjoyable this tour was about the surrender of Singapore. Highly recommend this Tour.. Good suggestion is to go on the Earliest tour at 9.45am as we only had 8 people.The next tour had around 30.
,,Canning Park,4.0,,"Visited this park in the evening. It has quite a steep climb up to the main area of the park. The park is really vast & it will take you hours to cover up on foot but perfect for an evening walk. They do offer tours to the Battlebox, however we arrived just after the last tour. The tour is priced at SGD 18 for an Adult & are supposed to last a little over an hour."
,,Great Park,4.0,,A great park to go for a walk around and enjoy the peace full surrounds. Just of Orchard road a very easy place to get to.
,,Very interesting,4.0,,"The hardest part is getting here walking, quite steep from any direction, but rewards the effort. Probably best when combined with a visit to the Battlebox, but still a great way to pass a couple hours. Lots of history. Plaques highlight significant places and events over the last 700 years.The main lawn in front of the big building was a graveyard. The ""contents"" were removed, many of the headstones line the walls around it, and give a sombre reminder of the abbeviated life expectancy for Western during the 19th century."
,,Historical stroll,3.0,,A nice stroll in a public park overlooking the city. It was also the place of the Singapore allies command center during the battles of WW2. Unfortunately the Battlebox can only be visited through planned guided tours.
,,Great park with excellent city views,5.0,,"Right behind the Singapore Museum, I highly recommend the walks, the views, easy access to Clarke Quay. There are beautiful tree and old cemetery markers dating to mid-19th Century. I'm sure on weekends there are often great events presented here. Also, enjoyed the old lighthouse."
,,Huge,4.0,,"This park is huge, it even has areas that has escalators to make your walk less tiring. Its pretty, has a good history, its interesting."
,,Fort Canning Park & Battlebox Tour,5.0,,"Highly recommend the 2.5 hour tour. Our guide Shar(?) spoke excellent English & was very knowledgeable. Got a bit of history on Singapore , the war & even life nowadays for Singaporeans. Bonus was the delicious bowl of vegetarian biryani at the restaurant at Fort Canning Park. A fair bit of walking & the park is on a hill, but not too strenuous.
I don’t know if all the guides are as good as Shar, but he really made the tour."
,,TAKE A TOUR BUS,5.0,,"We WALKED up the Fort Canning Hill and then all around the Fort, interestingly they now have a Hotel on it , The Battle Box we did not go in as we were too early for the tour, Bus tour is the way to go, there are old 9 pounder Guns (2) , Raffles first home , Plenty of walking , take a Hat or umbrella."
,,"Iconic Hilltop History and Today, Art",4.0,,"A hilltop landmark, Fort Canning is the site of many of Singapore's historic milestones: The location of 14th century Malay Kings, home of the Commander of the British Army and place where Singapore surrendered to the British in 1942. Today, it offers a lushly landscaped garden, top end hotel and manicured lawns for celebrations: weddings, Shakespearean plays and art exhibits. Just a few blocks up the hill from Orchard Road near Dhoby Ghaut MRT station, Fort Canning is wonderfully quiet respite from the shopping crowds."
,,Fort Canning Park,5.0,,This park is on the hop on hop off bus route so we thought that we would hop off to investigate this well mainted gardens. Beautiful maintained gardens with paths that climb higher and higher when walking around on them. Not a good park to visit if you have trouble walking or a bit unfit. Well worth a visit
,,A great escaoe,4.0,,"The perfect place to escape the heat and tourist hotspots in the city. Easily accessible by the MRT or for us, was half an hour walk from our accommodation. Some great photo opportunities for those looking for something a little different."
,,Great Historical Interest,5.0,,Had a leisurely walking tour around this entire area after visiting the Battlebox. Well worth it for anyone like myself interested in Singapore's history
,,Another great green space in the city,4.0,,"I was in Singapore for a workshop, and we spent one evening strolling down Orchard Road. We just happened to find Fort Canning Park. It was a great place to relax. I'm a history guy, so I enjoyed seeing this fort from the colonial era. I wish there had been a few more signs to help the public get the full story of the place. Singapore is a dense and busy city, but the government does a wonderful job of providing green spaces like Fort Canning."
,,Steps,4.0,,"A beautiful, green hilltop oasis in the city. We cut through on our way to the train station. Be warned this place is hilly!! There are lots of steps to the top. A great place to exercise for sure! Wish we had more time to explore. Beautifully maintained."
,,Bunker guided tour a must,4.0,,"On top of beautiful Fort Canning Park you will find the bunker tucked away near the exit on the Orchard Rd side of the hill. Buy your tickets for the guided tour which is the only way to see inside. The young guide who conducted our varied group of about 15 people was professional, knowledgeable, measured in presentation and very personable. As she conducted us from room to room, a terrible tale unfolded of English capitulation to a clever and organised enemy that resulted in the taking of Singapore. Rooms contain old equipment and realistic representations featuring excellent Madame Tussaud-like historical figures which help bring the tale to life. A throughly enjoyable and informative one-hour tour that is well worth the admission fee. Visit it before you go to the Changi museum to give Changi a better historical perspective."
,,Lovely park,5.0,,A beautiful and well-maintained park. A haven of quiet in the middle of Singapore. Absolutely lovely.
,,Lovely and peaceful in the middle of the city,4.0,,"We have been to Singapore on multiple occasions and never walked through the Park. Not any more! It is very easy to walk around with great signage talking about the history of the park. Although you are right in the middle of the city, it is incredibly peaceful."
,,Interesting Gardens with a Lot to Offer,4.0,,I was pleasantly surprised at what the park holds for tourists. I was sorry that I didn't know about buying tickets for the bunker which looked well worth visiting but entry is by tour only. Perhaps next time. The gardens in Singapore City are amazing. They are a credit to the Singaporeans.
,,Safe and refreshing,5.0,,"Very beautiful place, full of green. Nice pathways , vintage buildings , historical place with information given everywhere. I enjoyed my jogging there. Can't wait to visit it again!!!"
,,A park with history,4.0,,A must stop for who want to get a little history of Singapore's days as a British colony. Or if you just want to relax and have a picnic. Just don't litter.
,,So peaceful place,4.0,,"Very nice and quiet place. Walking at Fort Canning Park is really relaxing. We learned a lot about the history of Singapore and about spices.
You can admire so many type of plants which can't see easily in your life.
Fort Canning is near City Hall MRT."
,,Shade & Breeze,4.0,,"We were looking for somewhere that had shade, and a possible breeze, in the heat of Singapore. Fort Canning Park was just 12 minutes walk away from our accommodation so became the place of choice. It is sited on a hill; we entered the Park up never ending stairs, but on exiting we found that there is a sloping pathway on the Clark Quay side of the park that is much less strenuous. You will find lush greenery, much of it providing shade with places to sit, and at least a gentle breeze - I understand that Stamford Raffles built a house up there just to get the breeze. There is a huge amount of history surrounding you and if that is what you are into it will keep you happy for a long time. We just enjoyed the slower pace away from the crowds and the tranquility it afforded."
,,Big Park with greenery view,4.0,,Hiltop landmark of singapore city. If you love exercise you should go for it. It's very spectacular view from underground tunnel. It's also best for family.
,,Battlebox well worth a visit.,5.0,,Having been to Singapore on a number of occasions over the years I had never visited Fort Canning Park let alone the Battlebox bunker. I took the one and a half hour tour of the Battlebox and found it was extremely well presented by our very informative and knowledgeable guide Jerome. Lifelike models of all the key military personnel are shown at various locations to give it a more authentic feel.The bunker is air-conditioned. No photos are permitted. Highly recommend this tour to people of all ages.
,,Trip back in time,5.0,,"Fort Canning is a lovely Park with a lot of history. The focus of our visit was on the Battle Box , a bunker which was built during WWII. The tour guide was very knowledgeable. This is a great tour for the WWII buff! We came away with an understanding of the War in Malaya and Singapore and why the British lost. The tour lasted 1hr and 15 minutes. The bunker is air-conditioned. If you are visiting the rest of the Park, go early in the morning as it can get quite hot. The Park has much more to see... Raffles home, the old barracks, etc. i recommend it."
,,Cool garden walk,4.0,,"Luscious green garden with plenty of history and interesting plants. Depending on where you enter, there are a number of stairs and it can be a little difficult to navigate some of the winding paths in order to reach your chosen destination"
,,Very nice Sunday morning in the park,4.0,,"I had a very enjoyable morning walk here on a Sunday. It is quite and you have time and inspiration for reflection as well as a very nice possibility to enhance your knowledge of Singapore history.
Many posters with information is placed around the walking path. Are you interested in botanical information this is also displayed and educating. You can also use the park for a run."
,,Fort Canning Parks is a nice tranquil setting in the middle of the city,4.0,,"Fort Canning Parks is a lovely place to visit. I wanted to do the Battle box tour, but when I saw all the step the I had to walk down I realised I could not do the tour with my bad knee. SO disappointed."
,,A walk on the wilder side,5.0,,"Right in the centre of Singapore and bordering some key city sights this ancient hill sports a reservoir and some hidden gems such as the BattleBox, the Fort Canning Hotel and an art gallery. The park is a pleasant walking area and so close to the main streets."
,,Big park and nice place,5.0,,Park here is quite big and clean. Many trees and green place also the nice point to take the photo..
,,The gem of a place,5.0,,"The place is amazing. Nicely tucked away in the busy Singapore city. It offers lots of insights into the history, a wonderful walk in the spice garden & a nice art center. On the weekend, there can be too many people around though."
,,OK park,3.0,,It is near National Museum. You will find the sign when you exit the museum. The park is known for the place where british surrendered to japanese.
,,Can miss it,3.0,,"If you are on a short trip to Singapore, you can miss this location. If on a long trip too, you can miss it. If you are on a really long trip and have already finished seeing everything else and/or if you live close, you can surely spend some time here - may be take a book along. Its green, serene and quiet. If you expect to find a ""fort"", I'd think you'll be disappointed. There's hardly any fort there now. I saw that some music concerts are conducted there but I wonder how one can enjoy music if one is being bitten by mosquitos constantly.
Tip 1: If visiting, please cover yourself well as it has many mosquitos, natural to a place that is full of greenery.
Tip 2: Combine this location with a visit to one of the museums."
,,Large greens,4.0,,"Large greens in the middle of the city, nice views from The Hill, and the battlebox to visit as well"
,,Lovely place,5.0,,"Me and the wife went on a long walk that started in Tiong Bahru and ended up here. It's set on the top of a hill and is surrounded by lovely tree's and greenery. Inside there is a lovely green where you will see most people hanging out, there are some amazing tree's to sit under and read a book like i did or the museum to visit. You can also go into the underground bunkers (I didn't) and see some of the old cannons and rooms.

It's a lovely place. I recommend it"
,,This park is worth taking time out to visit,4.0,,"Fort Canning Park is a nice tranquil place to visit, get away from the concrete jungle and take your time walking around the park, its situated close to the city which makes it convenient everyone can easily walk there. Allocate yourself at least two hours to see and take in what the park has to offer. Don’t worry about the heat as there is plenty of shade and rest stops."
,,Not to be missed if you are near,4.0,,"It was on our way and we didn't regret going through this nice free park. Coming from the North, you'll see a tourist office which will give you a plan of the park which is usefull."
,,A peaceful beautiful garden so close to the city.,5.0,,"This park area is well worth a visit with no time constraint. Firstly go to the battle box to book your tour through this historical monument as it is generally booked out if you turn up just before. This gave a fascinating look into the battle of Singapore. Then wander around the gardens and museum. Have a cup of tea in the Hotel Fort Canning in the charming ""bar"" area, a very pleasant experience."
,,Filled with History; Difficult to Navigate,3.0,,"I visited Fort Canning Arts Centre for the Piece of Peace world tour running from 27 July to 3 September 2017. The exhibition mainly consisted of UNESCO world heritage sites built with Lego bricks, but also had Lego MOCs made by Singaporeans, as well as tubs of Lego bricks for visitors to tinker with. Overall it was an interesting exhibition that kept me engaged for an hour, but I felt the lighting did not showcase the level of detail in some creations.

I also attempted to check out the historical artefacts in Fort Canning Park, but found the park very hard to navigate. I ended up visiting the nearby National Museum of Singapore instead."
,,Short visit,4.0,,"We walked up through the park stopping to view the lighthouse and Raffles house, then went down again to access Clark Quay. Lots to read, shady and cool even in the midday heat, I just wish we had had more time and my feet not so sore. I think we'll visit again on our way home in a few months!"
,,Great Park,5.0,,"The history of this park is amazing. Be sure to take time to enjoy the tropical flowers, and stop by the World War Two battery."
,,A great break from the crazy of Singapore,5.0,,"I love this park. When the hustle of Singapore gets a bit much, take a stroll through Fort Canning. It is amazingly calm and quiet compared to what is just outside the walls.
There are lots of little pockets of information and history located all the way around, mixed with some beautiful plants and flowers.
I would advise going in late afternoon, when the heat has died down a bit, and make sure you wear bug spray, not for mosquitoes but for other little insects that bite."
,,Beautiful green oasis with a fascinating history,5.0,,"If you want to escape the hustle and bustle of Singapore by getting back to nature or if you're a history buff, then Fort Canning Park is the place to visit. The park is situated on a steep hill immediately behind Clarke Quay, so is very central and easy to get to. It's a reasonable size and some paths have a steep incline, which may be challenging for anyone with mobility issues. My overall impression was of green lawns, lush plants and lots of trees. There are also some impressive historical buildings dotted around the park as well as the WWII underground military operations bunker, now known as the BattleBox Museum, which is well worth a visit to do the highly informative 1 hr guided tour. Guided or self-guided trails through the park range from 0.6-2km in length."
,,Reccomend a visit,5.0,,"This is where Singapore was surrendered to the Japanese in WW II so has an amazing amount of history but further back than WW II. It is in a beautiful park with well kept grounds and flower beds. There are lots of different area to look at such as herb garden, archaeology dig, war memorial, bunker and lots more. There is an art gallery in the park with a delightful café in which I would definitely recommend - especially the sundae's which cost $9 and worth every cent. The girl who was there when we attended was lovely and made an art work of every piece of food which she produced. The café itself is very small but delightful, definitely recommend this and Fort Canning."
,,Love this Park,5.0,,Fort Canning Park is a peaceful oasis in the bustling bust city. Plenty of walking paths to enjoy and pleasant gardens.
,,Battlebox - a must visit if you want to go back to the historical days,5.0,,"The Battlebox is a former British underground command center in Fort Canning Hill. Built in the 1930s, it was used by the-then army that defended Singapore during WWII.

A great experience that brings back historical days alive. Before entry you watch a video that gives you the glimpse of the history and then you walk inside across the underground command center. It gave me a scary feeling when I went inside and realized how the days of the war had been for people who lived in those days."
,,Lovely place for a walk,4.0,,"This park is lovely for a walk or picnic, and to watch the birds. There is lots of historic things to see in the park, the Battle box being one of them, please note that you have to book before at the office/shop in the park."
,,Former center of colonial rule in Singapore and a fascinating site,4.0,,"Fort Canning Park is located on a hill across the river from Singapore's CBD and very near to Raffles Hotel. To see everything there is a fair bit of walking involved (lots of stairs and ramps), but it is well worth it with a range of different things to see including one of the original lighthouses of Singapore, the main former residence of the Governor from colonial times and also some archaeological ruins. My one piece of advice is to go early in the day before it gets too humid and hot"
,,Beautiful oasis in a busy city,5.0,,"Walking through the park you gorget you are in a very busy city. The park is beautiful with lots of greenery and places to just sit and relax and enjoy the scenery. It is also where you will find the Battlebox, the WWII bunker under the hill used by the British as their command centre, and also by the Japanese after the surrender of Singapore"
,,Gotta Get Those Steps In,4.0,,"Whew, walking up all the steps is a good workout on a hot and humid day. The trees are awesome and the paths are well groomed. We saw some wedding pictures being taken and enjoyed watching families picnicking under the shady trees."
,,Well preserved park area close to the city,4.0,,"Fort Canning Park is well worth a visit whilst in Singapore, with plenty of walking trails and interesting historical data about Singapore. I often walk home through the park as an indirect alternative to the busy River Valley Road. Just have to be a little careful of the mosquitoes, but otherwise this place is great to visit. On weekdays it's virtually empty."
,,Well maintained 'green lung' in central Singapore,4.0,,"Situated on a hill the park has a number of well maintained walkways with lots of directional signage to find your way around - obtain an Informative Brochure from your hotel, an information center or as we did in the Arts Center in the park itself to make for an informed enjoyable visit - lots of historical buildings and outdoor sculptures - beautiful trees and well maintained gardens - also features the Battelbox with guided tours of the WW2 military headquarters prior to the Japanese occupation - should be on your list of places to visit if you have more than a couple of days in this beautiful city"
,,Fort Canning Park,4.0,,"Good place for morning or evening walk, right in town. Quite a big place if one is willing to just explore and walk around and enjoy the scenery plus enjoying the fauna around."
,,Well preserved historical buildings pleasant to visit,5.0,,Very well preserved Park with the old British war buildings including the battle box. Lovely to see the historical buildings and the gardens are so well maintained. It was not at all busy in the park when we were there (weekday morning) and very pleasant to stroll around. Be aware that there are quite a few stairs to climb as the park is elevated so if mobility is an issue then perhaps a taxi to the entrance better than using the MRT to get here.
,,For history buffs or if you like a nice park,5.0,,Fort Canning is a wonderful place to visit in Singapore. From the high vantage point is I found it to be quite tranquil. A wonderful spot just to sit and relax or learn more about Singapore through the history on display.
